     Input  Canonical    Reduced
    G?AFEw     G?AOZs     G?AOZs -C-R- [(0, 5), (1, 7), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?AFE{     G??SZ{     G??SZ{ -C-R- [(0, 6), (1, 7), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFFo     G??[Js     G??[Js -C-R- [(0, 6), (1, 7), (2, 7), (3, 5), (3, 7), (4, 5), (4, 7), (5, 6), (6, 7)]
    G?AFFs     G?A?z{     G?A?z{ -C-R- [(0, 5), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFFw     G??o^s     G??o^s -C-R- [(0, 7), (1, 7), (2, 5), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?AFF{     G??_~{     G??_~{ -C-R- [(0, 7), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFKw     G??MXw      F?BHo -C-_- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFK{     G??MX{      F?BHw -C-_- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFMw     G??Kzw      F?AZo -C-_- [(0, 6), (1, 7), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFM{     G??Kz{      F?AZw -C-_- [(0, 6), (1, 7), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFNo     G??`}w     G??`}w -C-R- [(0, 7), (1, 7), (2, 5), (2, 6), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFNs     G??`}{     G??`}{ -C-R- [(0, 7), (1, 7), (2, 5), (2, 6), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFNw     G??H~w      F??~o -C-_- [(0, 7), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFN{     G??H~{      F??~w -C-_- [(0, 7), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFbW     G??Lrg     G??Lrg -C-R- [(0, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]
    G?AFb[     G??Lrk     G??Lrk -C-R- [(0, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G?AFbw     GG?A|w     GG?A|w -C-R- [(0, 7), (1, 2), (1, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFb{     GG?A|{     GG?A|{ -C-R- [(0, 7), (1, 2), (1, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFeW     G??Mhw     G??Mhw -C-R- [(0, 6), (1, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7)]
    G?AFe[     G??Mh{     G??Mh{ -C-R- [(0, 6), (1, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFfO     G??cyw     G??cyw -C-R- [(0, 6), (1, 7), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFfS     G??cy{     G??cy{ -C-R- [(0, 6), (1, 7), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFfW     G??czw     G??czw -C-R- [(0, 6), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFf[     G??cz{     G??cz{ -C-R- [(0, 6), (1, 7), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFfo     G?A@zw     G?A@zw -C-R- [(0, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFfs     G?A@z{     G?A@z{ -C-R- [(0, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFfw     G?@@~w     G?@@~w -C-R- [(0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFf{     G?@@~{     G?@@~{ -C-R- [(0, 7), (1, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFnW     G??Lzw      F?Azo -C-_- [(0, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?AFn[     G??Lz{      F?Azw -C-_- [(0, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AFnw     G??J~w      F?@~o -C-_- [(0, 7), (1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
